Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-3.825283	4.532167	1.8134663	-19.987827	-0.98602617	3.5262058	3.297296	-13.380534	52.979168	63.347088	271.0	0.0	82.025	160.08693	781.0	0.0	1000.0	1000.0	0.041666668	0.075	2756.0	0.02756	50004.0	-1.6943614	2.073663	1.8086395	-14.721765	-1.7411441	2.0262933	1.55692	-14.986268	1.5244157	4.091447	35.758648	-2.6687927	0.65533674	2.5437732	42.642	-12.483897	2.137771	0.089928955	0.07163284	0.043579347	0.2185838	-3.2131846	0.118372776	0.08152492	-8.218916	0.024594609	-0.65533674	51.63596	848.42865	850.9214344024658
2	-1.2149885	2.0267262	2.8346725	-8.29715	-1.0446775	1.8100717	2.4850733	-5.4691353	60.326923	79.521576	312.0	0.0	38.775	97.346924	579.0	0.0	1000.0	1000.0	0.03846154	0.125	5680.0	0.037866666666666667	100004.0	-1.5142231	1.6423185	0.90425956	-9.162581	-1.5142179	1.6422997	0.9126728	-9.014552	2.4600384	3.7048461	35.019093	-7.632928	1.9528184	3.968925	65.03929	-10.801925	2.7249184	0.0015577402	0.0015830391	0.046617907	0.00018882206	-5.6468306	0.0035909861	5.579558e-07	-12.265407	1.0812855e-05	-1.9528183	48.425945	901.60547	1752.7448749542236
3	-0.35694075	1.5302444	4.672721	-2.4634798	0.061365496	0.78800124	2.2104466	-1.204303	82.875	123.75456	532.0	0.0	89.25	179.93732	807.0	0.0	1000.0	1000.0	0.14583333	0.025	9945.0	0.049725	150004.0	-1.2937783	1.1894453	0.37067437	-7.9144306	-1.2937745	1.1894422	0.37582195	-8.223951	2.4765825	3.6977031	40.99742	-9.482981	1.9964706	4.3217726	74.515305	-12.80052	2.850405	0.0006654094	0.0006770334	0.06446259	2.2370272e-05	-5.8090377	0.0030352527	1.7271998e-09	-17.859406	5.2523088e-08	-1.9964706	50.714428	846.0382	2598.608593225479
4	-0.4606971	1.4901025	3.6067548	-3.9589288	-0.6416093	1.4580904	2.401954	-5.596748	55.653847	85.11686	448.0	0.0	27.05	67.07829	282.0	0.0	1000.0	1000.0	0.15384616	0.05	12552.0	0.050208	200004.0	-1.1798531	0.9561657	0.40008873	-7.620956	-1.1798447	0.95615953	0.4205094	-7.69047	2.4779994	3.7518034	51.52457	-10.595315	1.9932686	4.619439	72.09857	-13.076417	2.801613	0.0005530777	0.0005723717	0.08303196	3.1052055e-05	-5.8845983	0.002838658	7.302721e-12	-23.08744	2.4566862e-10	-1.9932687	49.751137	850.7102	3449.502492904663
5	-0.19960445	1.1595193	2.2931802	-2.3611786	-1.4044898	2.2149038	1.2265016	-9.115875	53.208332	83.57107	390.0	0.0	11.7	41.9334	256.0	0.0	1000.0	1000.0	0.125	0.075	15391.0	0.05130333333333333	250004.0	-1.1728859	0.95000106	0.51090986	-6.383052	-1.1728723	0.9499959	0.5008094	-6.3587337	2.467063	3.9686832	45.942116	-10.977649	1.9891897	4.759181	76.75543	-12.389732	2.8024547	0.0006516193	0.0006717624	0.10331787	5.6196717e-05	-5.66852	0.003511425	3.7956048e-13	-25.287846	1.1502864e-11	-1.9891897	50.95267	851.7595	4301.068370103836
6	-0.433931	1.2818501	4.4829116	-2.9168222	-4.4417048	6.0901737	1.7665237	-16.576668	51.53846	119.23176	535.0	0.0	19.075	71.66533	426.0	0.0	1000.0	1000.0	0.17307693	0.1	17786.0	0.05081714285714286	300004.0	-1.1927146	0.938832	0.24371126	-6.7526197	-1.1927091	0.9388322	0.30713266	-6.6612515	2.475403	4.088204	50.23	-17.394453	2.0024033	4.7608175	87.41519	-11.627154	3.2111645	0.0006461873	0.0006514042	0.11942623	-2.2304535e-07	-5.728395	0.0033197284	1.1571001e-13	-26.068762	4.807619e-12	-2.0024033	50.89367	851.0265	5151.97722029686
7	-1.50903	3.005721	3.9828012	-9.68602	-11.300051	10.832099	1.2701567	-28.626228	28.479166	82.95606	533.0	0.0	42.95	88.09226	375.0	0.0	1000.0	1000.0	0.20833333	0.05	19271.0	0.0481775	350004.0	-1.1937618	0.9057752	0.2464695	-6.0852304	-1.1937605	0.90576357	0.22553307	-6.1063113	2.4667559	4.1216846	50.399853	-15.538462	1.9594324	4.7270665	75.75459	-11.0095825	3.0415287	0.00066652667	0.000675593	0.116672404	0.00015823847	-5.7273355	0.0033614105	1.0173776e-13	-26.513815	3.0795906e-12	-1.9594322	49.596687	844.731	5996.862543344498
8	-0.4509943	2.0252037	5.8761654	-6.8060107	0.0040416955	0.9065715	2.324539	-1.889478	33.307693	62.624504	294.0	0.0	41.925	106.286026	535.0	0.0	1000.0	1000.0	0.25	0.1	20885.0	0.04641111111111111	400004.0	-1.1890233	0.8885903	0.7745565	-6.57608	-1.18903	0.8885667	0.8221574	-6.57781	2.460202	4.0188584	50.412777	-13.176977	1.9851164	4.719629	88.14707	-12.285847	2.7232578	0.00075361243	0.0007632616	0.116536155	5.956887e-05	-5.7447114	0.0032510946	8.428085e-14	-26.889627	2.1093724e-12	-1.9851162	46.60239	853.4527	6850.52254319191
9	-0.53194994	1.7491528	5.845003	-4.2681575	-0.5996833	1.6799045	3.4919915	-7.316415	51.125	115.75739	627.0	0.0	55.375	131.25218	626.0	0.0	1000.0	1000.0	0.1875	0.175	23708.0	0.047416	450004.0	-1.227486	0.8589043	1.311869	-7.0286007	-1.2274846	0.85889256	1.1616645	-7.217807	2.4607778	3.8029797	56.992798	-17.31329	1.9830544	4.598128	77.50219	-11.37377	2.498871	0.000779628	0.0007885607	0.10883857	5.209157e-05	-6.0266314	0.0024919754	6.2141197e-14	-27.171274	1.587394e-12	-1.9830544	50.60083	849.9823	7700.342329263687
10	-0.44749627	1.2997376	3.5995567	-3.208263	-0.36613932	1.3454129	2.633201	-2.8507187	36.173077	62.845573	291.0	0.0	40.7	122.59877	669.0	0.0	1000.0	1000.0	0.15384616	0.125	25220.0	0.04585454545454545	500004.0	-1.2569416	0.87504023	1.712734	-7.0095077	-1.2569396	0.87503546	1.8462822	-6.800683	2.466006	3.8418972	61.433826	-14.346147	1.995876	4.801311	94.005356	-11.978574	2.7528238	0.0008433698	0.0008457512	0.1149732	2.4203597e-05	-5.881049	0.0028420547	4.3642316e-14	-27.37816	1.2894661e-12	-1.9958758	50.36976	843.40283	8544.015808582306
