Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-0.39288512	2.5831878	7.6972814	-7.3472037	0.51147234	1.0400229	3.1219091	-0.8647277	60.229168	104.7917	594.0	0.0	73.35	189.80246	906.0	0.0	1000.0	1000.0	0.41666666	0.3	2891.0	0.02891	50004.0	-2.384445	1.442308	1.8866363	-16.659075	-2.4275758	1.3577652	1.6276551	-16.54173	1.6280595	3.0050814	27.760878	-2.9583576	0.5267541	2.3852236	49.47834	-12.300489	2.896794	0.09066819	0.07806635	0.04518535	0.20238662	-3.340028	0.11734848	0.081861384	-7.9777093	0.024630798	-0.5267541	9.635124	145.61346	146.42486572265625
2	2.0993035	2.5978274	8.689321	-2.7561104	1.5742255	2.592742	8.688022	-1.8290364	26.423077	67.91096	452.0	0.0	70.9	122.02188	530.0	0.0	1000.0	1000.0	1.0576923	0.875	4265.0	0.028433333333333335	100004.0	-1.8488537	0.6398367	0.31109923	-10.794188	-1.8488626	0.6397815	0.13457896	-11.10508	2.4678216	2.4137235	33.843372	-4.067451	1.927175	3.8495538	51.025112	-13.820914	1.953301	0.0009589166	0.0009752768	0.03171361	0.00018945678	-6.2809377	0.0019285828	5.858236e-07	-12.035382	1.528018e-05	-1.9271753	9.093997	147.42892	293.9097273349762
3	2.8690531	2.4321582	8.745931	-0.97693086	1.6053203	1.6369438	5.544499	-1.9124467	80.145836	172.47644	816.0	0.0	38.1	119.835686	692.0	0.0	1000.0	1000.0	1.4166666	0.85	8270.0	0.04135	150004.0	-1.2920253	0.4040371	0.76761067	-4.705116	-1.2920275	0.4040127	0.7337302	-4.7017045	2.4898057	2.4418604	37.232727	-7.753805	2.0033803	3.8626745	56.985626	-14.237682	1.9709532	0.00051441696	0.0005233783	0.04050368	2.948761e-08	-6.2452383	0.0019894568	1.1942861e-09	-17.0384	9.365616e-08	-2.0033805	17.726109	253.32181	547.4591863155365
4	3.5199568	3.5669434	12.028369	-6.2178507	2.7089467	2.6861372	8.736762	-0.9703928	37.96154	51.407104	295.0	0.0	60.925	134.65779	633.0	0.0	1000.0	1000.0	1.75	1.425	10086.0	0.040344	200004.0	-0.9906726	0.3737761	1.0670093	-3.4479601	-0.9906709	0.37377566	1.0629755	-3.428213	2.4821503	2.7468526	41.98113	-12.357007	2.004565	4.1525917	60.87755	-12.439869	1.7247609	0.0005283404	0.0005333652	0.05850961	-3.1484412e-06	-6.114853	0.0022570216	5.348184e-12	-22.771973	2.934156e-10	-2.0045648	22.317963	765.0282	1312.5622992515564
5	3.667986	3.2384367	11.141106	-3.3332345	0.6879734	5.262673	13.164696	-11.98324	101.666664	111.935684	603.0	0.0	54.65	112.8817	422.0	0.0	1000.0	1000.0	1.7708334	1.175	14966.0	0.04988666666666667	250004.0	-0.8593097	0.3634873	1.0634478	-3.4667773	-0.8593036	0.3634842	1.0184847	-3.3840604	2.4929779	2.736351	40.059723	-13.241948	1.9755794	4.456636	80.19511	-12.721846	1.8392832	0.0005349124	0.00054304686	0.06956338	6.432587e-05	-6.2003026	0.0020843064	1.3174336e-13	-24.75823	1.78484e-11	-1.9755794	22.137066	842.3644	2154.9246759414673
6	3.0334544	3.6654823	11.069664	-4.231249	2.7222893	5.91754	19.262314	-17.293842	50.46154	98.93946	486.0	0.0	28.2	44.916702	243.0	0.0	1000.0	1000.0	1.6153846	1.95	17590.0	0.050257142857142854	300004.0	-0.8229068	0.3817091	1.4145417	-3.7934935	-0.82290375	0.3816925	0.99009943	-3.7559943	2.485409	3.2655072	39.287758	-12.777322	1.9938722	4.566074	74.74239	-10.316035	2.10789	0.0006110321	0.00062058243	0.09869102	4.229769e-05	-5.9227915	0.0027565565	1.551779e-13	-25.25147	1.0967099e-11	-1.9938722	20.789879	798.9419	2953.9793260097504
7	3.5154254	3.320421	10.502626	-3.7651975	7.847174	4.9810853	17.373144	-1.9378102	28.395834	53.583557	244.0	0.0	36.825	78.91669	484.0	0.0	1000.0	1000.0	1.8958334	3.7	18970.0	0.047425	350004.0	-0.892508	0.43489447	0.932235	-6.000779	-0.8925112	0.4348727	1.0261832	-5.693227	2.47504	3.2789254	39.00029	-11.679254	1.992726	4.4141455	73.09866	-11.76062	1.9401394	0.0008307694	0.0008427005	0.10502961	2.8298626e-05	-5.8916965	0.002831297	1.464014e-13	-25.85813	5.9653554e-12	-1.9927261	22.084665	789.0077	3742.8481464385986
8	3.6801252	3.8205638	17.615135	-2.3829892	3.7348752	4.1413584	15.126016	-1.4883734	22.461538	45.912735	197.0	0.0	9.2	20.574501	78.0	0.0	1000.0	1000.0	2.0769231	1.825	20121.0	0.044713333333333334	400004.0	-0.92835873	0.4548854	1.0398437	-5.7640505	-0.92835474	0.45487502	1.076704	-5.6623983	2.4770486	3.1662428	39.20759	-13.2785845	1.9844731	4.4878874	65.78362	-13.83703	1.913707	0.00085461553	0.00086122286	0.101079725	5.1851654e-05	-6.0544686	0.0024103909	8.559526e-14	-26.30203	3.7955277e-12	-1.9844731	21.157701	788.3914	4531.283533573151
9	3.6281235	3.37632	13.468743	-2.3104856	2.4999287	3.6418645	13.876879	-5.3918324	20.0625	40.133324	161.0	0.0	24.675	78.23727	432.0	0.0	1000.0	1000.0	2.0	1.475	21091.0	0.042182	450004.0	-0.90054256	0.4725891	0.88632965	-4.94767	-0.90053844	0.47257918	0.99710333	-4.9713297	2.472456	3.2442374	41.77374	-14.709617	1.9941128	4.6966815	74.407005	-11.603358	1.8592031	0.0008575723	0.0008675966	0.105551116	2.2583667e-05	-6.1205864	0.0022558642	7.4756234e-14	-26.64823	2.6825074e-12	-1.9941131	22.186752	802.92566	5334.394237041473
10	4.5142827	4.3941064	17.305866	-2.777338	9.403662	6.97039	22.57139	-0.22384688	19.942308	29.918745	147.0	0.0	39.85	88.89841	438.0	0.0	1000.0	1000.0	2.4423077	4.875	22121.0	0.04022	500004.0	-0.9163694	0.4831764	0.9463885	-5.959702	-0.9163644	0.48317832	0.8337996	-6.3082304	2.4670541	3.2332678	54.573265	-12.621611	2.0018759	4.6896687	74.03056	-13.990927	1.7433578	0.00097291445	0.000977382	0.104282185	3.0389024e-06	-6.1003594	0.0022813056	6.742109e-14	-26.910458	2.0622538e-12	-2.0018759	21.959564	789.2398	6124.14675450325
