Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-4.146106	5.2835402	3.7389562	-16.271276	-9.5319395	9.882093	3.7035122	-29.008781	27.416666	54.53089	234.0	0.0	40.1	73.399185	323.0	0.0	1000.0	1000.0	0.14583333	0.3	1346.0	0.01346	50004.0	-1.1134043	2.7995942	2.0585587	-23.228558	-1.1571641	2.7761343	2.0095146	-23.458355	0.8777149	2.948815	38.925632	-2.787902	0.6964794	1.0282294	22.828058	0.011946205	0.5971513	2.6415396	41.513474	-11.90605	-3.508067	0.08584529	0.071617305	0.027135933	0.1451696	0.23891601	-3.1677787	0.118301176	0.06698049	-8.581492	0.0245737	-0.5971514	19.392387	367.16364	368.86314630508423
2	-0.36652866	2.2177353	4.571057	-7.1350336	-0.14309242	1.0223525	2.2079225	-2.166154	21.01923	49.154575	319.0	0.0	7.75	15.452751	68.0	0.0	1000.0	1000.0	0.40384614	0.25	2409.0	0.01606	100004.0	-1.6346619	1.7981521	0.8161002	-13.967741	-1.634671	1.7981343	0.8061851	-13.976662	1.9889047	2.6876695	30.234383	-5.903927	0.5059168	1.1265349	48.155556	0.005423712	1.9008697	3.9923377	59.155674	-13.327087	1.6522325	0.0018287261	0.0018622086	0.025481874	0.18987422	0.00027671552	-6.083886	0.0023488083	4.2626203e-07	-12.81372	7.371496e-06	-1.9008697	20.800598	684.67676	1053.630666255951
3	1.2470617	2.4364512	10.03116	-1.8248646	0.9109008	1.5743103	5.5910974	-1.3698589	44.875	76.551895	321.0	0.0	40.1	162.98555	861.0	0.0	1000.0	1000.0	0.9166667	0.6	4683.0	0.023415	150004.0	-1.5842394	1.0900639	0.29794574	-6.2461	-1.5842404	1.0900574	0.29354167	-6.306646	2.0684288	2.2878406	32.051014	-4.289263	0.43959954	1.0180618	38.089024	0.00024434918	1.9810048	4.2804394	73.47513	-15.640627	1.7167516	0.0006380687	0.00065077085	0.025892524	0.17544226	3.9981565e-05	-6.297436	0.0018654105	1.1971251e-09	-17.772602	2.6613812e-08	-1.981005	20.613747	700.06946	1753.8215913772583
4	1.133294	1.7913564	7.015153	-1.5312653	1.0587976	1.799631	5.7901325	-2.590807	48.403847	104.74902	503.0	0.0	59.0	144.8066	763.0	0.0	1000.0	1000.0	0.63461536	0.625	7080.0	0.02832	200004.0	-1.3157642	0.69778734	0.42367083	-4.6603823	-1.3157625	0.69776833	0.30551252	-4.6671433	2.0606275	2.1623933	41.095497	-6.533985	0.49647126	1.1985648	32.21741	0.00016032365	2.003979	4.162919	66.41583	-13.163564	1.7285672	0.00039819625	0.0004138179	0.03314184	0.18692751	1.4294147e-07	-6.336996	0.0018039286	2.8163665e-12	-18.420683	1.3596008e-10	-2.003979	20.743572	701.36383	2455.080617904663
5	1.814761	2.099447	7.2893615	-2.3956327	0.6835681	1.5284494	6.4498105	-0.8476544	26.645834	52.396122	270.0	0.0	30.475	143.34521	894.0	0.0	1000.0	1000.0	0.9583333	0.425	8393.0	0.027976666666666667	250004.0	-1.1267548	0.5460678	0.6309042	-4.4023156	-1.1267515	0.5460456	0.55775267	-4.4764137	2.0139644	2.2033195	37.654266	-10.112312	0.6337466	1.5116068	36.80206	0.000165568	1.9940385	4.1321845	61.2444	-12.46774	1.4146711	0.00043664902	0.0004489811	0.039868858	0.19991973	2.0857144e-05	-6.1176376	0.0022409842	2.8534575e-13	-18.420683	9.377361e-12	-1.9940385	20.87083	701.6359	3156.684651851654
6	0.67152685	1.4114728	4.548275	-1.4460298	0.41188198	1.2857541	3.629124	-1.4603127	44.557693	108.479065	612.0	0.0	19.125	109.459854	702.0	0.0	1000.0	1000.0	0.3653846	0.3	10676.0	0.030502857142857144	300004.0	-1.0058464	0.49360508	0.4170795	-5.171208	-1.0058452	0.49358118	0.48745283	-5.156734	2.011416	2.2017932	35.412785	-10.156361	0.6500552	1.5874152	32.6015	3.1828375e-05	1.9802592	4.149046	61.64811	-11.660952	1.2221228	0.00045871208	0.00047140947	0.04338325	0.2068416	4.830452e-05	-6.1139426	0.002253348	1.3920249e-13	-18.420683	4.372819e-12	-1.9802591	18.776907	712.7495	3869.4823973178864
7	1.2816354	1.8047243	5.0154853	-3.6758926	1.5305915	1.7855968	5.603992	-0.7938755	10.916667	24.424915	119.0	0.0	39.225	133.51526	725.0	0.0	1000.0	1000.0	0.75	0.875	11200.0	0.028	350004.0	-0.9677098	0.49714747	0.6554333	-6.905851	-0.9677063	0.4971209	0.74991256	-6.6327467	1.9847922	2.2578835	37.777145	-13.317036	0.74635893	1.8561139	41.724506	1.8954097e-05	2.0062861	4.268762	77.24494	-11.876708	1.2658426	0.0006493694	0.0006659821	0.047352705	0.21521342	-6.2888716e-06	-6.1043286	0.0022724664	8.7482965e-14	-18.420683	2.8470718e-12	-2.0062861	20.980412	708.53455	4578.038293600082
8	1.1270436	2.2581766	8.503938	-3.7606928	1.012797	2.0600946	10.035026	-1.0633043	33.96154	124.70764	861.0	0.0	7.8	39.22958	251.0	0.0	1000.0	1000.0	0.75	0.575	12966.0	0.028813333333333333	400004.0	-0.9709121	0.48520005	0.8291483	-8.543973	-0.9709013	0.48519576	0.9019106	-8.900346	1.9624065	2.2342114	35.509377	-13.089904	0.83542156	2.0505857	47.468723	8.106199e-06	1.9961306	4.1557417	68.47707	-11.824179	1.3272414	0.00068823074	0.0006988678	0.051282637	0.22026215	1.3172302e-05	-6.194979	0.0021040558	6.004381e-14	-18.420683	2.1005368e-12	-1.9961306	20.98336	703.13135	5281.173560142517
9	1.3974603	1.7541062	6.588579	-2.1504686	1.2520006	1.8552414	6.817453	-1.261325	36.916668	78.85663	387.0	0.0	60.15	180.3586	879.0	0.0	1000.0	1000.0	0.8541667	0.8	14738.0	0.029476	450004.0	-0.9564755	0.46285313	0.36895055	-9.778711	-0.9564711	0.4628423	0.6133462	-9.356019	1.9547141	2.2468374	42.539505	-9.7811365	0.85131264	2.105672	45.965336	2.7418098e-06	1.9662672	4.1956425	67.75421	-10.625573	1.2169293	0.0005878175	0.00059814577	0.053050645	0.22282171	7.9206235e-05	-6.155033	0.002171448	5.4369188e-14	-18.420683	1.6830853e-12	-1.9662673	20.769138	702.09125	5983.2813601493835
10	0.99162865	2.0578907	6.9079485	-1.5143342	1.9469106	2.3981602	9.588692	-1.0354508	17.596153	68.036545	436.0	0.0	33.4	113.29073	636.0	0.0	1000.0	1000.0	0.63461536	1.025	15653.0	0.02846	500004.0	-0.90480393	0.47341293	0.7818533	-17.660475	-0.9047945	0.47341263	0.91395426	-18.107325	1.9563243	2.2531493	45.915512	-12.952526	0.87385124	2.137262	61.573772	2.2150479e-07	1.9776019	4.274155	64.28024	-12.201797	1.2722892	0.00069895433	0.000701824	0.051387373	0.21863064	5.2104147e-05	-6.2068114	0.0020673901	3.970351e-14	-18.420683	1.4033668e-12	-1.9776015	20.782345	713.4143	6697.422587633133
