Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-2.8162324	3.8231986	4.2886877	-13.4972925	-0.48852864	2.0633285	4.181941	-8.315709	33.6875	62.258247	291.0	0.0	39.675	93.591774	448.0	0.0	1000.0	1000.0	0.29166666	0.325	1659.0	0.01659	50004.0	-0.33639282	2.2748446	2.552118	-23.753119	-0.3792505	2.2614498	2.6156578	-23.747164	0.9098747	3.1396818	31.834003	-2.997142	0.7230576	1.1857013	30.139252	0.0050152927	0.60437775	2.6035588	64.57319	-11.834111	-3.2999287	0.07768453	0.06468421	0.02993481	0.16857523	0.24771033	-3.1265707	0.11953566	0.066921696	-8.498158	0.024584722	-0.60437775	21.520008	636.0171	638.3145043849945
2	-0.47302997	1.6610413	6.3041515	-3.492716	-0.016205732	1.0891016	2.7211754	-2.4102638	16.442308	42.91109	228.0	0.0	35.6	114.34244	699.0	0.0	1000.0	1000.0	0.26923078	0.1	2472.0	0.01648	100004.0	-0.830537	1.5182403	1.4528885	-8.6161995	-0.8305491	1.5182167	1.4412665	-8.5163145	2.0174286	2.6015477	30.453747	-7.3361187	0.4903104	1.0019867	27.164143	0.002017607	1.9057548	3.7291038	66.59236	-13.31844	1.2507966	0.0016638109	0.0016815173	0.026761279	0.18630895	0.00033068488	-5.9248157	0.002800758	3.9770075e-07	-12.450638	7.231078e-06	-1.9057548	20.624771	690.97705	1329.2432355880737
3	-0.5324072	1.1513711	2.1501431	-3.2624297	-0.18080406	1.3652946	3.084735	-2.6784658	18.979166	51.90677	323.0	0.0	19.5	76.6642	453.0	0.0	1000.0	1000.0	0.1875	0.325	3383.0	0.016915	150004.0	-0.8368562	0.88597333	0.7524276	-5.766266	-0.83685905	0.8859724	0.7451152	-5.7801595	2.0922406	2.074652	31.15971	-5.761821	0.3968368	1.0449306	32.162575	0.000681883	1.9958237	4.029575	69.53317	-12.592351	0.9811972	0.00053974346	0.0005361981	0.022827012	0.15183373	1.2221346e-05	-6.3860416	0.0017307347	1.6801921e-09	-17.505116	5.493023e-08	-1.9958237	20.402283	692.1704	2021.565113067627
4	0.35942194	1.4462254	5.1487803	-1.7786186	0.038334608	0.8893491	2.3490484	-1.9131845	59.557693	100.410385	358.0	0.0	75.3	193.99603	715.0	0.0	1000.0	1000.0	0.3653846	0.125	6480.0	0.02592	200004.0	-0.8118224	0.61198837	0.6551222	-5.3736486	-0.81182534	0.6119837	0.8906424	-5.5304947	2.0684924	2.0720744	28.301271	-10.934353	0.476425	1.2185069	34.92721	0.00039236	1.995453	4.2684846	82.387184	-13.100053	1.0705919	0.0003158957	0.00031606684	0.027785555	0.16447617	9.124978e-06	-6.4823895	0.0015740332	3.4507729e-12	-18.420683	1.3322757e-10	-1.9954531	19.78574	698.71497	2720.1266696453094
5	1.0467759	1.9278717	7.402184	-2.055321	0.5907583	1.46667	4.680997	-1.7631844	38.3125	90.3053	477.0	0.0	6.8	13.41678	63.0	0.0	1000.0	1000.0	0.625	0.45	8319.0	0.02773	250004.0	-0.83503175	0.53250533	0.838351	-10.695646	-0.8350284	0.5325089	1.1982245	-10.6192	2.0422485	2.1971526	31.992197	-12.909211	0.5893494	1.5402409	37.040276	0.00017808282	1.9958746	4.1185493	85.45238	-15.636972	1.3700849	0.00040197652	0.00039986297	0.038298894	0.19489567	1.8869e-05	-6.218248	0.00202793	1.986693e-13	-18.420683	1.1047432e-11	-1.9958749	20.9628	701.0453	3421.273153066635
6	1.5806419	1.9813832	7.290179	-2.2248554	1.4458091	2.4358077	8.880604	-2.8181958	29.153847	57.00384	261.0	0.0	50.4	97.08677	456.0	0.0	1000.0	1000.0	0.8076923	0.975	9835.0	0.0281	300004.0	-0.8543141	0.5069193	1.2673953	-4.237341	-0.85431325	0.5069462	1.3614624	-4.2172775	2.0085638	2.3300564	43.05586	-17.906698	0.6729775	1.7612584	38.401886	2.62257e-05	2.0003052	4.150825	58.467415	-13.15988	1.3626306	0.00046260742	0.0004493647	0.04518721	0.2133968	4.4279004e-06	-6.0386376	0.0024299908	1.3777021e-13	-18.420683	5.737915e-12	-2.0003054	20.94727	692.0268	4113.199521303177
7	1.7159337	2.236143	9.689989	-1.6324052	0.74369574	1.754464	8.002221	-2.21604	22.645834	47.34866	278.0	0.0	5.825	15.011476	70.0	0.0	1000.0	1000.0	0.8958333	0.5	10973.0	0.0274325	350004.0	-0.90390515	0.49451646	1.065944	-4.2616463	-0.9039068	0.49451816	1.5178409	-4.097758	2.0001037	2.1332724	42.434376	-18.879557	0.6782047	1.6683875	44.950493	1.3828182e-05	1.9890039	4.3726974	66.69638	-12.17771	1.2087159	0.00054202933	0.00053959124	0.045126144	0.20362282	3.05663e-05	-6.214915	0.0020289614	9.451841e-14	-18.420683	3.7509293e-12	-1.989004	20.735949	691.7777	4805.104174375534
8	1.5046748	2.2116354	7.819076	-2.5231955	0.18656123	1.0641066	3.8799427	-2.0608454	26.961538	44.70844	178.0	0.0	41.225	169.86237	882.0	0.0	1000.0	1000.0	0.86538464	0.2	12324.0	0.027386666666666667	400004.0	-0.9508981	0.4964119	0.7570704	-4.760874	-0.9508911	0.496423	1.061719	-4.742429	1.9700869	2.2262259	36.7944	-12.124454	0.81577784	2.0365148	52.04279	6.7622764e-08	1.99812	4.321833	75.3962	-11.844366	1.2934163	0.0005692179	0.00056682667	0.049067568	0.21609977	1.3192062e-05	-6.1034756	0.0022827908	7.525676e-14	-18.420683	2.612443e-12	-1.9981203	20.96093	694.0857	5499.073201656342
9	1.7018347	2.178484	8.961515	-4.0281596	1.2798083	1.9566427	7.1464415	-1.6971344	43.520832	88.74401	376.0	0.0	31.1	65.860756	271.0	0.0	1000.0	1000.0	0.8541667	0.675	14465.0	0.02893	450004.0	-0.99765736	0.49816293	0.5331642	-5.1186023	-0.99765307	0.49818107	1.2187395	-5.097824	1.9580821	2.2399716	36.031544	-10.874076	0.88569593	2.2801309	51.933037	1e-08	1.9972578	4.453773	78.066574	-10.92579	1.4306091	0.0005999901	0.00059335155	0.05192059	0.22154324	1.4908009e-05	-6.101513	0.002294251	5.230512e-14	-18.420683	2.0394463e-12	-1.9972578	21.011063	701.932	6201.118204832077
10	0.84048015	2.1536725	6.8197765	-1.5414648	2.2140198	2.9700625	11.575213	-0.74249166	25.673077	84.05966	469.0	0.0	20.925	48.932297	301.0	0.0	1000.0	1000.0	0.5769231	1.175	15748.0	0.02863272727272727	500004.0	-1.0452063	0.48686105	0.77747226	-4.567408	-1.0452051	0.4868649	1.1808717	-4.4327316	1.9468684	2.2829852	40.899925	-24.42762	0.911997	2.2173204	58.945496	1e-08	1.9904264	4.282082	75.03551	-10.21436	1.5856644	0.0005963519	0.00059651595	0.05872275	0.23784855	2.686427e-05	-6.0808063	0.0023369144	3.854348e-14	-18.420683	1.7027966e-12	-1.9904264	20.529036	718.06323	6919.962364196777
