Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-1.0885998	2.3113198	4.7036552	-7.8297596	-21.434576	8.423909	0.53721595	-28.879229	85.020836	101.55078	365.0	0.0	16.35	24.612549	89.0	0.0	1000.0	1000.0	0.125	0.0	4287.0	0.04287	50004.0	0.1491525	1.6469665	2.7528234	-11.85362	0.10235428	1.6402009	2.7516062	-11.698048	1.2367288	3.208043	28.836536	-2.852085	0.83890474	1.2617126	23.736847	6.93774e-05	0.30738673	2.6706395	44.156834	-12.308425	-1.6725985	0.08203951	0.06518897	0.042478457	0.21604994	0.25237718	-3.2941463	0.11411629	0.067212604	-7.832015	0.024684748	-0.30738676	44.93563	970.8342	974.5179569721222
2	-0.8986537	3.2488754	3.6342635	-15.995341	-0.5547222	2.0308008	5.252617	-3.9177983	108.05769	148.26503	594.0	0.0	60.775	160.21416	904.0	0.0	1000.0	1000.0	0.09615385	0.3	9700.0	0.06466666666666666	100004.0	-0.13739319	1.3083043	2.0716314	-7.769907	-0.13740435	1.3082997	2.050518	-8.0088005	2.0245285	3.3968732	33.23477	-7.2804637	0.7517052	1.6530945	32.12847	2.1948381e-07	1.96866	4.195876	63.297794	-11.649302	2.5369153	0.0011102922	0.0011214882	0.05337716	0.30124605	0.00017340119	-5.349286	0.0048164753	0.0013086695	-6.7176337	0.09774217	-1.9686601	47.945667	1025.3818	1999.100834608078
3	-1.0392852	1.2910694	1.4770474	-4.619354	-0.5288725	1.3394898	5.1001267	-3.402017	51.083332	95.16627	576.0	0.0	74.4	183.03275	905.0	0.0	1000.0	1000.0	0.0625	0.05	12261.0	0.061305	150004.0	-0.70403326	1.1283505	1.8806978	-9.679524	-0.7040361	1.1283423	1.8418245	-9.8342905	1.9709721	3.661477	35.865795	-13.259592	0.9409485	2.065604	38.73536	2.4337334e-07	1.9990058	4.482736	74.53282	-11.076719	3.5494685	0.00091387116	0.0009287494	0.07590931	0.3669139	4.583729e-05	-5.276619	0.005252891	0.007022536	-4.489399	0.22806986	-1.9990059	50.270466	979.21	2978.1226539611816
4	-0.54267687	1.515899	3.5627074	-6.235035	-0.62791747	1.3046275	1.0546644	-3.6424243	51.634617	85.46637	365.0	0.0	34.775	66.911316	283.0	0.0	1000.0	1000.0	0.115384616	0.0	14837.0	0.059348	200004.0	-0.96289766	1.0822996	0.88149333	-13.875995	-0.9628859	1.0822903	0.9053086	-13.723286	1.9516622	3.7644575	47.17613	-20.54869	1.1051497	2.506902	49.77267	1.8666498e-08	1.9666178	4.6153035	66.50745	-11.79279	3.5075593	0.0010280255	0.0010551406	0.09101432	0.4087697	0.00017641575	-5.327798	0.0050060293	9.844448e-05	-5.549203	0.008802407	-1.9666178	49.27959	978.20496	3956.3362460136414
5	0.08531501	1.4892981	4.054647	-2.0132074	-0.031482387	1.155568	2.903397	-2.4586124	23.4375	48.012543	223.0	0.0	82.575	181.71568	749.0	0.0	1000.0	1000.0	0.375	0.125	15982.0	0.05327333333333333	250004.0	-1.2278253	1.1598595	0.6252428	-8.942385	-1.2278141	1.1598591	0.48219734	-8.884278	1.9259053	3.8032305	46.417034	-20.892874	1.2068586	2.8138125	50.13421	1.0906861e-08	1.9833505	4.9193363	77.88094	-13.135805	3.5639389	0.0012361722	0.0012450983	0.09648521	0.42421	0.000104100836	-5.2897162	0.0051295436	1.3468042e-06	-10.7190485	9.6757576e-05	-1.9833506	50.796448	982.51654	4938.868878126144
6	-0.5416216	1.0394603	2.4417148	-3.204211	-0.34673977	1.0914731	2.739695	-2.122501	32.807693	82.093994	418.0	0.0	100.725	185.65344	857.0	0.0	1000.0	1000.0	0.057692308	0.15	17668.0	0.05048	300004.0	-1.4533054	1.2690011	0.60302424	-13.536696	-1.4532963	1.2689996	0.52127874	-13.765093	1.9385458	3.7236238	48.51294	-17.717407	1.1969885	2.886395	59.4623	1e-08	1.9906629	5.003353	109.69574	-12.104282	3.7523568	0.0014857455	0.0014976683	0.09796667	0.4203434	5.3794538e-05	-5.3826795	0.0047197244	3.1775451e-09	-16.685604	1.5132305e-07	-1.9906632	50.613983	984.15356	5923.211694955826
7	-0.70886165	1.3227826	2.260206	-4.462974	-0.4607802	1.0162936	1.6196716	-3.8625162	25.3125	84.67687	532.0	0.0	102.525	208.97235	803.0	0.0	1000.0	1000.0	0.0625	0.025	18916.0	0.04729	350004.0	-1.636789	1.3821421	0.4186011	-14.602313	-1.6367831	1.3821495	0.36516887	-14.738107	1.9098908	3.9472249	60.16783	-23.493643	1.3282992	3.2870674	63.238724	1e-08	1.9885628	4.9905257	93.84068	-11.151871	3.9848819	0.0016569128	0.0016557795	0.110633865	0.46126023	6.49453e-05	-5.371361	0.004821054	8.868411e-12	-18.420683	2.6242272e-10	-1.9885632	46.611862	975.5184	6898.396153211594
8	-0.33210346	1.1356698	3.4016483	-2.1804504	-0.45321807	1.0494636	1.5836124	-3.0135686	43.73077	77.15696	352.0	0.0	20.275	59.10626	321.0	0.0	1000.0	1000.0	0.15384616	0.075	21157.0	0.047015555555555553	400004.0	-1.833239	1.3925924	0.046074927	-11.761395	-1.8332312	1.3926103	0.092076	-12.012923	1.8874052	3.8752851	66.34048	-25.46011	1.3967825	3.5228863	89.969284	1e-08	1.9831526	5.087028	137.85385	-11.357637	4.225613	0.0018134121	0.0017934571	0.11618758	0.4625635	0.00012131733	-5.287783	0.005139821	2.6270097e-13	-18.420683	8.905009e-12	-1.9831529	46.693882	975.6988	7874.222613096237
9	-0.4866766	1.0095502	1.632674	-3.6933734	-0.39924183	1.7961742	4.3376994	-6.963775	54.416668	128.87039	700.0	0.0	43.35	139.08049	806.0	0.0	1000.0	1000.0	0.083333336	0.075	23769.0	0.047538	450004.0	-1.992786	1.4631327	0.058511496	-20.173489	-1.9927822	1.4631221	0.043139577	-20.134857	1.8641508	3.7889328	60.141186	-25.406616	1.5333202	3.829508	95.69357	1e-08	1.9767863	5.094246	95.871956	-12.414606	4.358089	0.0022360687	0.0022533971	0.1206524	0.4638825	0.00012279635	-5.3340526	0.0049231006	1.1376444e-13	-18.420683	4.389886e-12	-1.9767866	48.384205	977.562	8852.23243880272
10	-0.05438778	1.4052464	3.841061	-4.0670147	-1.4019618	4.789745	1.2544974	-26.385794	16.98077	40.71689	182.0	0.0	44.05	87.95963	383.0	0.0	1000.0	1000.0	0.17307693	0.025	24652.0	0.044821818181818185	500004.0	-2.2527122	1.6822319	0.029791713	-22.589659	-2.252708	1.682221	0.02770406	-22.649805	1.8444828	4.0130515	53.35349	-32.688454	1.7277548	4.4285293	111.17791	1e-08	1.9547112	5.2371016	108.87872	-12.67943	4.956625	0.0036465472	0.0036673974	0.14403121	0.5240747	0.00031849387	-5.19125	0.0057889274	7.896926e-14	-18.420683	3.118397e-12	-1.9547112	50.553993	978.932	9831.69768834114
11	-0.6970261	1.1620423	1.4838828	-3.890021	-0.5027897	2.4880042	2.1540146	-9.650355	44.458332	75.112404	339.0	0.0	80.4	185.29771	915.0	0.0	1000.0	1000.0	0.041666668	0.175	26798.0	0.04466333333333333	550004.0	-2.4287302	1.7112647	0.014843166	-22.482239	-2.4287434	1.711268	0.0008595586	-21.872831	1.8513085	3.8695517	51.829987	-25.325497	1.6905733	4.310452	86.350136	1e-08	2.0029833	5.3679824	102.59907	-12.098249	4.797674	0.003216005	0.0031889747	0.13122092	0.4961864	-2.6303444e-05	-5.354506	0.00492733	7.427422e-14	-18.420683	2.2932895e-12	-2.002983	46.5708	982.2511	10813.361002206802
