Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-5.675396	6.644623	1.9451312	-26.582378	-0.5587524	1.6929171	3.4912117	-4.0958686	18.125	20.21615	74.0	0.0	6.825	15.69536	66.0	0.0	1000.0	1000.0	0.20833333	0.25	948.0	0.00948	50004.0	0.99271154	1.9140143	4.7056427	-10.530209	0.9480547	1.92832	4.5270553	-10.691117	1.0537362	2.6705778	27.671368	-2.3409286	1.0772891	2.6579754	26.586761	-1.7666886	0.8999519	1.0892345	27.271746	0.0053958492	0.8794746	1.0966136	25.74961	0.008305769	0.2983746	2.1141853	43.409668	-11.668344	-7.2142763	0.06889687	0.053102814	0.029323222	0.033014864	0.12175191	0.123351775	0.28263566	-3.1743975	0.1210896	0.05631382	-8.407277	0.024575412	-0.2983746	9.660587	251.50656	252.462819814682
2	-0.0634082	2.4649758	5.850858	-7.9076896	-3.8419151	6.7221293	5.5149436	-18.83259	62.96154	81.848114	298.0	0.0	41.55	54.883945	279.0	0.0	1000.0	1000.0	0.42307693	0.5	4144.0	0.027626666666666667	100004.0	0.3039355	1.3763138	2.7978714	-7.410419	0.30392802	1.3762909	2.8073728	-7.3942614	1.9236038	2.8499746	27.680443	-5.6830745	1.9236511	2.8500457	27.123524	-5.470272	0.5942572	1.0875255	21.081415	0.0014362744	0.59231853	1.0747179	18.648207	0.0011624492	1.9224558	3.5363822	56.012695	-11.70628	-0.16472557	0.001750445	0.0017754119	0.030251415	0.03033937	0.18721423	0.1881975	0.0002643982	-5.83238	0.0029757624	3.9776802e-07	-13.004639	5.2161495e-06	-1.9224557	9.170605	254.1044	506.54110860824585
3	0.6786039	1.6052513	5.1399794	-1.5637856	0.1602207	1.2039142	2.7655435	-1.7813646	37.020832	88.03893	349.0	0.0	109.15	204.09306	871.0	0.0	1000.0	1000.0	0.5833333	0.275	5933.0	0.029665	150004.0	-0.34245798	0.8358807	1.3111897	-9.821679	-0.3424539	0.83586586	1.3086542	-9.982418	2.0426238	2.6785245	33.438118	-16.823805	2.0426118	2.6790144	34.897133	-16.224096	0.56675	1.4393141	37.77373	9.107175e-05	0.568037	1.443779	38.333786	0.00010775939	2.0078826	3.896692	67.96877	-14.256926	0.9058708	0.0007931924	0.0007966814	0.04176626	0.04133832	0.20703164	0.20639506	-1.2892046e-05	-6.00302	0.0024988726	9.493213e-10	-17.74975	2.6383935e-08	-2.0078828	17.904785	440.99115	948.0191996097565
4	0.6051435	1.6918399	6.2935085	-1.9566971	0.18847093	1.1543982	3.8500626	-2.0385196	47.21154	138.46817	724.0	0.0	33.7	137.90707	877.0	0.0	1000.0	1000.0	0.42307693	0.25	8376.0	0.033504	200004.0	-0.6059527	0.642467	0.91658247	-8.734051	-0.60595256	0.6424804	0.83224356	-8.864984	2.0532987	2.4956467	35.646523	-12.193954	2.0533767	2.4957438	35.254673	-12.034977	0.56035525	1.5653996	65.383995	1.1800909e-07	0.563537	1.610363	74.85872	6.3180723e-06	1.9830111	3.9391973	71.36247	-11.197858	1.0452667	0.00068375655	0.000674435	0.039444458	0.038518824	0.1828394	0.1825578	4.788253e-05	-6.0331974	0.0024273063	2.9592479e-12	-18.420683	6.884652e-11	-1.9830109	18.566483	880.52625	1828.6414263248444
5	0.32306728	1.4169356	5.2039857	-1.8078123	0.19775781	1.4564639	5.2140036	-3.8389046	33.458332	76.58164	345.0	0.0	13.5	24.366985	107.0	0.0	1000.0	1000.0	0.29166666	0.275	10058.0	0.03352666666666667	250004.0	-0.7441386	0.5601032	0.77579486	-7.540783	-0.7441379	0.560126	0.8430971	-7.479969	2.0278807	2.325407	34.861633	-11.035196	2.027929	2.3251183	34.586304	-10.328725	0.63299894	1.8187257	89.790695	1e-08	0.6355055	1.8493848	93.89721	2.5868081e-05	1.9784275	3.9676845	79.89515	-12.516576	1.2140353	0.00068690366	0.00067394	0.041750643	0.042312764	0.18085723	0.17995113	4.4866832e-05	-6.1162243	0.002238	2.1446798e-13	-18.420683	8.037146e-12	-1.9784273	19.936619	883.87354	2712.466963529587
6	0.20423588	1.4176972	5.4350915	-1.5081362	0.25316304	1.1244394	3.0243003	-1.3256005	18.76923	41.055134	178.0	0.0	84.05	189.02011	778.0	0.0	1000.0	1000.0	0.25	0.25	10958.0	0.03130857142857143	300004.0	-0.80659467	0.48666936	0.63104296	-5.3773117	-0.8065994	0.4866664	0.73742247	-5.347231	1.9971037	2.23394	40.429672	-23.895723	1.9971206	2.233241	38.872826	-23.202387	0.72123206	1.7583683	41.944736	1e-08	0.72267276	1.7864681	51.173412	8.225407e-06	2.0272565	4.058509	77.22248	-12.335608	1.1665206	0.00053910684	0.0005389109	0.04109816	0.0420435	0.17061348	0.1700482	-5.1325886e-05	-6.1646576	0.0021416016	1.1981793e-13	-18.420683	4.3444354e-12	-2.0272565	19.724815	880.15436	3592.756625890732
7	1.1632804	2.102251	9.763212	-1.6137166	0.30971116	1.1134535	3.2215302	-1.2141327	51.083332	110.86005	488.0	0.0	88.425	222.17761	891.0	0.0	1000.0	1000.0	0.6875	0.225	13496.0	0.03374	350004.0	-0.8054415	0.45493865	0.8133969	-5.7800326	-0.80544126	0.45494938	0.79315436	-5.7507963	1.9301915	2.1340096	34.69853	-21.854822	1.9301465	2.1334372	36.227325	-21.317612	0.89017045	1.9404521	44.858273	2.7037294e-07	0.88942814	1.9387776	42.325275	6.985473e-07	1.9957967	4.0270433	75.20713	-11.423861	0.9268355	0.00050179777	0.00049916987	0.039447077	0.04049381	0.15898073	0.15891281	1.6406564e-05	-6.1303725	0.0022020147	9.558217e-14	-18.420683	2.8054052e-12	-1.9957966	20.63651	876.86395	4469.612049102783
8	0.84710985	1.8760663	7.038702	-1.7616676	0.6166636	1.4732804	5.32768	-1.7306232	24.98077	54.941746	257.0	0.0	13.525	59.447872	368.0	0.0	1000.0	1000.0	0.5769231	0.35	14709.0	0.03268666666666667	400004.0	-0.8279731	0.43482983	1.1692526	-8.426953	-0.82798016	0.43484154	1.2609164	-8.826725	1.8653384	2.0542662	32.143257	-14.399046	1.8653369	2.0537994	33.229527	-13.258566	1.0820926	2.1839237	53.298286	2.1939069e-07	1.0822762	2.199834	51.24549	4.6058042e-07	1.9788576	4.068357	84.03442	-11.519808	0.9589882	0.00054474105	0.00054136285	0.04152361	0.042741954	0.15875463	0.1582924	5.052123e-05	-6.251929	0.0019384564	6.385891e-14	-18.420683	2.0417032e-12	-1.9788576	20.594643	884.96606	5354.526980161667
9	0.6698968	1.8683585	5.2968497	-1.9420117	0.41197872	1.0469707	4.161822	-2.0726979	14.416667	31.093832	137.0	0.0	5.35	27.682621	174.0	0.0	1000.0	1000.0	0.47916666	0.275	15401.0	0.030802	450004.0	-0.87811375	0.42928603	1.180345	-10.088554	-0.878116	0.42928803	1.3042922	-10.0367775	1.7343234	2.1132362	32.578865	-13.216328	1.7344946	2.1128504	33.19692	-12.619909	1.4850096	2.5236344	59.226017	3.0994368e-06	1.4863142	2.537465	59.23638	3.7713477e-08	1.9969156	4.0610657	110.24905	-11.596357	0.9971905	0.0006048623	0.0006066145	0.041419614	0.042725958	0.15374985	0.15333454	8.176194e-06	-6.265435	0.0019223816	5.420888e-14	-18.420683	1.6268237e-12	-1.9969156	20.64359	882.72314	6237.224890947342
10	0.020576267	1.7468804	3.0618215	-9.113555	0.3855192	2.0923562	4.198759	-5.128483	9.923077	28.202456	169.0	0.0	43.4	180.9932	944.0	0.0	1000.0	1000.0	0.25	0.575	15917.0	0.02894	500004.0	-0.9532945	0.476033	1.080177	-18.21951	-0.9532998	0.47603247	1.293653	-18.570549	1.6983795	2.103009	36.54527	-10.730718	1.698375	2.1026196	38.226597	-10.988801	1.6085397	2.702351	49.064888	1.6689287e-06	1.6076059	2.7047436	48.54944	1.1920922e-06	1.998808	4.1327124	90.41516	-12.514879	0.9832016	0.0008284442	0.0008349723	0.042307165	0.042758234	0.15231739	0.15181947	9.406289e-06	-6.2421136	0.0019764868	4.9244046e-14	-18.420683	1.3244626e-12	-1.998808	20.960546	887.09204	7125.8532609939575
