Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-1.0291638	2.4478848	4.4295073	-8.709994	-0.09551553	1.2777122	3.1584299	-2.8018467	35.9375	48.27413	174.0	0.0	25.45	106.05233	663.0	0.0	1000.0	1000.0	0.25	0.15	1924.0	0.01924	50004.0	1.9990466	0.89899457	4.3110604	-4.2482657	1.9559011	0.9741431	4.2999506	-4.251157	1.4993509	2.320094	24.45413	-2.262975	1.5217903	2.302137	24.466467	-1.8066161	0.67716986	0.92864805	19.970047	0.0008617502	0.65655017	0.92412984	20.919044	0.0023808724	-0.2742509	1.9299245	32.154045	-11.30485	-5.4149127	0.06406173	0.04967619	0.032518156	0.036355324	0.12438095	0.12578069	0.29011232	-3.3953838	0.11181216	0.056009904	-7.6525054	0.024776872	0.27425092	19.021563	851.84937	854.3966739177704
2	-0.2917987	4.864456	6.070491	-20.17732	1.2093872	1.4918016	5.1401067	-1.6747408	81.38461	110.091774	428.0	0.0	57.475	163.92665	907.0	0.0	1000.0	1000.0	0.53846157	0.5	5957.0	0.03971333333333334	100004.0	1.1539121	0.570134	3.6162257	-3.1899006	1.1539133	0.5700876	3.5323765	-3.1540146	2.0975273	2.3475568	28.575289	-7.093985	2.0975387	2.3473206	28.40788	-6.430075	0.42975304	1.0906166	23.944046	9.858122e-05	0.43127692	1.0985714	25.348202	1.0847986e-05	1.9296994	3.8327692	50.58902	-12.260224	-0.62073827	0.00056740426	0.0005861566	0.029922156	0.030152395	0.16644488	0.16556612	0.00019596682	-6.020045	0.0024553537	4.0694255e-07	-12.142902	1.2573576e-05	-1.9296994	19.796726	866.4751	1720.670360326767
3	1.7335528	2.0232348	7.027731	-1.8042088	1.0536169	3.7526195	10.64005	-17.254007	130.75	198.74979	889.0	0.0	81.425	233.94551	913.0	0.0	1000.0	1000.0	0.8958333	0.775	12339.0	0.061695	150004.0	0.2663698	0.4707201	2.4278052	-3.853029	0.2663591	0.47070172	2.4045615	-3.7662792	2.0563686	2.7213864	31.44427	-6.5711155	2.0563903	2.7209594	31.721125	-6.7053995	0.60705316	1.5175896	34.212074	6.9141147e-06	0.60691285	1.508863	37.324974	6.079655e-06	2.0095646	4.1463594	64.27126	-14.450838	1.4391259	0.00051504414	0.00052497396	0.044704463	0.04621802	0.20521712	0.20505281	-1.751647e-05	-5.8543406	0.0029604828	0.0016141656	-10.363566	0.16094387	-2.0095646	20.064453	862.58264	2583.3039257526398
4	2.0945957	2.4004874	10.26614	-2.19942	2.6366343	4.0878115	13.211597	-7.583838	38.596153	62.359154	280.0	0.0	17.725	39.135654	221.0	0.0	1000.0	1000.0	1.1153846	1.55	14240.0	0.05696	200004.0	-0.38371626	0.5994928	1.4981875	-7.17224	-0.3837115	0.599443	1.4896914	-6.9641194	1.9682208	3.1976237	33.375156	-20.196442	1.9682968	3.1974373	34.47645	-19.927418	0.8664349	2.0107858	34.918423	1.5497195e-06	0.8676888	2.0162075	34.66729	3.0994368e-06	1.9978911	4.394679	74.01887	-11.910633	2.1779923	0.000979044	0.0010084865	0.06573739	0.066605486	0.25456598	0.25470582	1.62603e-05	-5.638758	0.0035991871	0.00058343366	-5.087873	0.05274913	-1.997891	18.723684	854.6566	3438.0563428401947
5	2.2423863	2.6465738	8.781562	-3.168676	0.33106413	1.9038724	5.143156	-4.185564	36.145832	88.46139	563.0	0.0	33.25	102.54456	541.0	0.0	1000.0	1000.0	1.2708334	0.475	16005.0	0.05335	250004.0	-0.78666484	0.66279876	1.2083957	-7.1758704	-0.78664327	0.6627603	1.2530344	-7.0731754	1.9460222	2.953049	28.893156	-17.54077	1.946094	2.953125	30.368525	-17.452877	0.9369839	2.0510056	43.457355	2.503392e-06	0.9365121	2.0459518	42.02688	8.0676347e-07	1.9890337	4.4740386	93.72955	-12.905484	2.3267846	0.0011053322	0.0011389826	0.062929	0.063166276	0.23611236	0.23619531	4.1305906e-05	-5.8508286	0.0029492185	1.0826118e-05	-8.250632	0.001056285	-1.9890337	20.468758	861.0022	4299.088747024536
6	2.5517836	3.0163517	10.978301	-1.7746234	0.83971435	1.9106032	8.698726	-2.0919461	43.403847	107.7203	621.0	0.0	58.725	160.71419	727.0	0.0	1000.0	1000.0	1.3846154	0.425	18232.0	0.05209142857142857	300004.0	-1.0743939	0.6849543	0.8057764	-9.062234	-1.0743853	0.68489766	0.8549556	-9.394618	1.9004989	2.8682072	34.855934	-9.318414	1.9005852	2.8679996	34.012493	-8.921641	1.0773566	2.343625	41.921906	2.622601e-06	1.0801517	2.3691363	53.61307	1.1920922e-06	1.986925	4.5250278	75.20873	-11.729482	2.309309	0.0012784032	0.0013085358	0.0638073	0.06441072	0.22990035	0.22863543	5.013691e-05	-5.7899127	0.0031032765	1.721046e-07	-12.751952	1.2742312e-05	-1.9869249	20.714733	862.8981	5161.923513174057
7	2.565283	2.890178	11.6439295	-1.8309419	1.3572063	1.606796	4.763149	-3.7223816	37.895832	76.52892	293.0	0.0	43.275	117.17165	602.0	0.0	1000.0	1000.0	1.375	0.625	20193.0	0.0504825	350004.0	-1.3347826	0.73899764	0.74796176	-15.6318035	-1.3347732	0.738911	0.7929243	-15.494422	1.8828205	2.9020813	36.185425	-12.517628	1.8828562	2.9019296	36.282097	-12.333089	1.1378566	2.5320568	70.834564	1.0031619e-07	1.1416409	2.571815	57.291424	2.3704974e-08	1.9874631	4.6253676	75.0447	-11.008613	2.44196	0.0015052203	0.0015569392	0.06873385	0.06895311	0.24142027	0.23997515	4.8682865e-05	-5.738036	0.0032819977	3.1855446e-10	-17.852797	2.1991585e-08	-1.9874635	20.768137	862.8341	6024.810762882233
8	1.9733837	2.8710797	9.6515255	-2.470707	1.2617924	2.106658	6.319976	-2.0512762	43.903847	97.90522	513.0	0.0	73.225	195.03506	847.0	0.0	1000.0	1000.0	1.25	0.725	22334.0	0.04963111111111111	400004.0	-1.4771181	0.7817086	0.6003432	-21.312645	-1.4771185	0.7816553	0.5063039	-21.765482	1.8663261	2.862743	40.099205	-16.658012	1.8663613	2.8627048	39.075947	-15.865801	1.2099316	2.6175036	85.340996	1.4930107e-08	1.2114234	2.6180642	76.90955	1e-08	2.0078328	4.635346	79.6042	-12.1892185	2.6111376	0.0016334339	0.0016625604	0.068674974	0.06826151	0.23787577	0.23709601	-1.709814e-05	-5.7960706	0.0031081794	1.0228955e-12	-18.420683	4.4821268e-11	-2.007833	20.761158	880.75635	6905.517148017883
9	2.7032373	2.8566632	10.900615	-2.582445	1.3633218	2.1892738	7.87787	-1.6686819	34.479168	68.174706	270.0	0.0	12.85	36.734554	194.0	0.0	1000.0	1000.0	1.5	0.85	23989.0	0.047978	450004.0	-1.5317714	0.7858694	0.6917162	-26.001238	-1.5317671	0.7858636	0.5418563	-24.051958	1.8052416	2.7167058	36.223774	-19.734606	1.8052176	2.7167287	35.273598	-18.635262	1.3855858	2.738636	90.356346	3.1479178e-07	1.3883396	2.7594235	67.458115	1.5099992e-08	1.9865037	4.4902015	77.88938	-12.773617	2.4987018	0.0017267906	0.0017277597	0.06420581	0.06407176	0.21992727	0.21883236	4.4644206e-05	-5.877874	0.0028430475	1.8897123e-13	-18.420683	8.44923e-12	-1.986504	20.722534	875.57074	7781.1096267700195
10	2.5421166	2.6701446	10.051083	-2.4535754	2.8479161	3.6885216	13.8737	-1.9413148	13.365385	20.694695	76.0	0.0	43.075	134.93283	726.0	0.0	1000.0	1000.0	1.3461539	1.5	24684.0	0.04488	500004.0	-1.5429317	0.7501966	0.5717571	-16.175522	-1.5429279	0.7501585	0.3923639	-15.745063	1.7657408	2.6938076	38.911278	-12.2614565	1.7658031	2.6938763	37.495968	-13.484153	1.5168722	2.9371228	78.963036	9.4750746e-08	1.51786	2.969175	82.22818	4.718534e-08	1.9728779	4.5482264	71.05727	-13.311334	2.3906722	0.0015080811	0.0015388794	0.06238552	0.06289926	0.21394625	0.21381868	7.9130565e-05	-5.957015	0.0026365481	1.2334408e-13	-18.420683	4.69252e-12	-1.9728779	20.623907	894.77966	8676.869734287262
11	2.509659	2.8862286	11.314891	-1.4548564	1.426307	1.9237849	7.0571547	-1.8120173	34.333332	75.43466	299.0	0.0	0.825	3.6392822	19.0	0.0	1000.0	1000.0	1.4375	0.85	26332.0	0.043886666666666664	550004.0	-1.554952	0.74811393	0.2537483	-13.506474	-1.5549579	0.7480758	0.33045387	-13.595543	1.7878747	2.6047962	39.176025	-21.48987	1.7878103	2.6047444	40.328674	-22.681534	1.4457551	2.8976367	80.0041	6.832976e-08	1.4454049	2.8978164	77.87035	3.321981e-08	2.008487	4.9065742	86.23054	-13.222366	2.3125274	0.0015111477	0.0015404513	0.05987125	0.060056876	0.20462312	0.20421055	-1.5806894e-05	-5.9420457	0.002663967	8.456496e-14	-18.420683	3.1040316e-12	-2.008487	20.491837	883.33606	9559.332000255585
12	2.5379755	2.7853396	11.77084	-1.5462942	3.5373738	3.8986313	13.199794	-1.9016278	22.634615	52.937565	313.0	0.0	24.65	69.69022	356.0	0.0	1000.0	1000.0	1.3653846	1.7	27509.0	0.04232153846153846	600004.0	-1.5428144	0.73809725	0.35470974	-9.352139	-1.5428205	0.73804545	0.41226912	-9.577859	1.8303341	2.5730023	38.714363	-15.086109	1.8302481	2.5732088	39.19244	-17.923952	1.3425425	2.820237	75.03507	1e-08	1.3402872	2.801521	71.217415	1e-08	1.9723864	4.707309	90.79206	-13.307291	2.324281	0.0013749867	0.0014128999	0.059099633	0.0586256	0.2018736	0.20150866	7.085846e-05	-6.048655	0.0024198655	5.830294e-14	-18.420683	2.3727402e-12	-1.9723866	20.587307	864.79614	10424.119326114655
13	3.2534142	3.2785726	10.946243	-1.973007	2.0856533	2.3765838	8.025063	-0.7239578	17.416666	40.390713	193.0	0.0	9.675	40.22337	255.0	0.0	1000.0	1000.0	1.75	1.175	28376.0	0.040537142857142855	650004.0	-1.5263186	0.7445324	0.27832055	-8.006868	-1.5263245	0.74447966	0.24491024	-8.132292	1.8302683	2.6432264	50.098713	-20.525124	1.830152	2.6427937	48.18741	-20.401497	1.3611372	3.0217235	85.654884	1e-08	1.3610297	3.012278	86.44803	1e-08	1.9766887	4.787429	84.52873	-12.811693	2.3058445	0.0015188196	0.0015539984	0.062359273	0.06355288	0.21465692	0.21410789	5.6726574e-05	-6.053468	0.0024195486	5.3024944e-14	-18.420683	1.8909089e-12	-1.9766884	20.458931	869.6157	11293.66491150856
14	2.3962622	2.8021963	12.125697	-1.8232654	1.0433471	2.5709963	11.049605	-1.762638	20.153847	41.169624	198.0	0.0	23.15	116.20059	731.0	0.0	1000.0	1000.0	1.3076923	0.7	29393.0	0.039190666666666665	700004.0	-1.5897197	0.7552551	1.0257566	-9.403332	-1.5897151	0.7552061	1.1645472	-9.4642105	1.8522911	2.47074	40.621597	-14.867565	1.8523134	2.4704812	39.42841	-15.697978	1.2866404	2.9245198	91.37252	1e-08	1.2882137	2.918101	91.37709	1e-08	2.0162413	4.8314276	92.51425	-14.613215	2.2157857	0.0015592055	0.0015906837	0.059676543	0.060241528	0.20320107	0.20216793	-2.8923512e-05	-6.0117936	0.002493512	4.4885526e-14	-18.420683	1.557306e-12	-2.016241	20.621265	867.8795	12161.53800702095
15	3.3369935	3.4304516	13.289619	-1.0585256	2.016502	2.615072	11.399338	-0.45351046	36.520832	96.726204	504.0	0.0	25.375	70.45661	402.0	0.0	1000.0	1000.0	1.875	1.05	31146.0	0.0389325	750004.0	-1.6331745	0.75598156	0.5340065	-7.9321966	-1.6331786	0.7559624	0.50777996	-7.7116294	1.847524	2.2936428	43.989315	-11.526571	1.8474866	2.2939775	44.427067	-11.337176	1.2413354	2.7529328	74.886856	1.3060304e-08	1.2405938	2.751449	82.84092	1e-08	1.9766766	4.646941	83.68187	-10.822896	1.9252362	0.0015707843	0.0015831582	0.055572677	0.054995615	0.18689921	0.18603846	6.1476996e-05	-6.118481	0.0022589953	4.519246e-14	-18.420683	1.3005836e-12	-1.9766768	20.695217	864.5704	13026.07372379303
16	3.0878012	3.1494107	11.0695715	-1.251908	2.503823	3.8323982	14.610607	-1.4184986	26.326923	53.32077	228.0	0.0	28.7	147.63895	947.0	0.0	1000.0	1000.0	1.6346154	1.4	32515.0	0.03825294117647059	800004.0	-1.6167666	0.71302956	0.46400392	-8.364387	-1.6167691	0.7129737	0.3890704	-8.02977	1.8465947	2.2024496	44.392376	-11.394138	1.8466188	2.202845	43.94693	-10.317136	1.2640368	2.8038757	76.099045	1e-08	1.2633828	2.7928853	85.61007	1e-08	1.9867102	4.7041254	87.57389	-12.087818	1.974631	0.0014801285	0.0015164847	0.052235145	0.05155037	0.1767543	0.17646396	3.3019664e-05	-6.171225	0.0021387415	3.1953203e-14	-18.420683	1.1090415e-12	-1.9867103	20.537409	860.11383	13886.225707769394
17	3.4808438	3.637402	14.1283455	-1.1131914	2.3031812	3.661967	13.962769	-0.5953556	14.083333	34.44309	195.0	0.0	27.25	88.54116	540.0	0.0	1000.0	1000.0	1.8541666	1.275	33191.0	0.03687888888888889	850004.0	-1.5644716	0.6576087	0.52081037	-8.655942	-1.5644734	0.6575346	0.2526871	-8.676766	1.8423072	2.2051287	36.777775	-13.608018	1.8422605	2.2051783	35.354267	-14.332552	1.289123	2.8733387	93.75015	1e-08	1.2861344	2.836196	95.283195	2.5256877e-08	1.9935029	4.7994547	86.86834	-13.854898	2.0283415	0.0013586519	0.0014022257	0.050380137	0.05037407	0.17148	0.17169523	1.3887e-05	-6.265174	0.0019397442	2.3786356e-14	-18.420683	1.0002655e-12	-1.9935031	20.864126	861.897	14748.114500284195
18	4.0901537	4.3989983	15.934275	-1.1762065	2.6228995	2.7871895	10.508081	-1.1048785	28.557692	70.01357	408.0	0.0	10.375	18.03564	71.0	0.0	1000.0	1000.0	2.2115386	1.45	34676.0	0.03650105263157895	900004.0	-1.5312877	0.6397929	0.646111	-11.79269	-1.5312887	0.63974404	0.60735095	-11.333422	1.843318	2.177426	43.250717	-18.343935	1.8433391	2.1770945	44.096478	-18.865929	1.2660714	2.8856864	99.49811	1e-08	1.266291	2.8701727	88.27294	2.8036487e-08	1.9861379	4.67969	92.945114	-13.338231	1.9680294	0.001323916	0.0013534552	0.049201727	0.049546417	0.1693259	0.16881458	3.053132e-05	-6.217642	0.0020270443	2.1870807e-14	-18.420683	9.0742854e-13	-1.9861375	20.70918	860.3839	15608.506796360016
19	3.130271	3.1721377	9.367878	-2.5832071	3.1436653	3.6919367	13.508013	-0.71184254	11.229167	38.71705	242.0	0.0	21.95	90.52401	529.0	0.0	1000.0	1000.0	1.7916666	1.6	35244.0	0.035244	950004.0	-1.4980716	0.6359872	0.87350965	-14.736126	-1.4980664	0.6359147	0.7384968	-15.37562	1.801434	2.1057127	40.735443	-10.451079	1.801422	2.1055582	39.634285	-10.867845	1.4062876	3.093004	108.60314	1e-08	1.4081628	3.091097	98.21578	1e-08	1.9923393	4.627567	84.90123	-12.05724	1.8823014	0.0013834445	0.0014119125	0.047895174	0.048531864	0.1629498	0.16241816	1.7750022e-05	-6.354957	0.0017706625	1.9689406e-14	-18.420683	8.4144546e-13	-1.9923394	20.792786	863.5859	16472.098525762558
20	4.3853383	4.1468887	16.236734	-1.8352516	2.812345	3.4635715	13.505061	-0.9204275	22.653847	47.81249	228.0	0.0	42.2	109.65222	564.0	0.0	1000.0	1000.0	2.2692308	1.425	36393.0	0.03466	1000004.0	-1.4744617	0.63382834	0.5666493	-17.156172	-1.4744612	0.6337525	0.42159462	-15.400997	1.7718433	2.118398	41.290257	-13.589582	1.7717946	2.1182687	42.874146	-14.026264	1.4530449	2.98399	111.43726	4.9339018e-08	1.4537475	2.98572	107.300255	1e-08	1.9883019	4.692255	76.93983	-13.718041	1.7972927	0.0013780086	0.0014121224	0.048196476	0.04856915	0.16281487	0.1617052	2.3701125e-05	-6.2819395	0.0018991834	2.0433626e-14	-18.420683	7.7351087e-13	-1.9883019	18.977638	862.9075	17336.466401338577
21	3.973504	3.9098837	15.404464	-0.9879613	4.1569877	4.143221	17.39808	-0.7650281	31.8125	78.457695	414.0	0.0	18.475	53.241894	334.0	0.0	1000.0	1000.0	2.0208333	2.175	37934.0	0.03448545454545455	1050004.0	-1.4189665	0.6191373	0.25211	-15.72237	-1.4189738	0.61907417	0.2460531	-15.732214	1.8172145	2.030806	40.201427	-17.223946	1.8172706	2.03037	41.473175	-14.540226	1.32115	2.7772083	102.92041	1e-08	1.3224913	2.7876909	106.01132	1e-08	1.9889467	4.540261	84.84632	-11.598054	1.7995925	0.0013204955	0.0013543153	0.045202117	0.045722455	0.15393202	0.15246135	1.7874901e-05	-6.5234475	0.0014925821	1.4723762e-14	-18.420683	7.2127504e-13	-1.9889467	20.722137	863.8779	18198.83954191208
22	4.9713316	3.967254	16.378222	-0.70410633	2.8714242	3.0917752	12.190038	-0.67719924	21.48077	42.911575	247.0	0.0	23.25	80.29936	509.0	0.0	1000.0	1000.0	2.5	1.475	39037.0	0.03394521739130435	1100004.0	-1.3669047	0.6120717	0.63929737	-14.293442	-1.3669065	0.6120157	0.4675852	-15.167982	1.8655362	1.938881	43.5527	-12.011273	1.8655481	1.9388915	45.24522	-12.970829	1.1603745	2.6603093	89.17513	1e-08	1.1622666	2.6611807	100.166245	1e-08	2.00462	4.656157	89.50764	-13.495047	1.6015601	0.0013180325	0.0013484223	0.04649549	0.047080196	0.1556557	0.15453953	-2.3475743e-06	-6.3949175	0.0016950681	1.610098e-14	-18.420683	6.798507e-13	-2.0046198	19.702328	862.29846	19061.205211877823
