Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-1.1640416	1.4772044	2.327437	-4.6454353	-0.62324965	1.146839	1.6039515	-4.6670885	17.583334	39.190685	195.0	0.0	55.8	191.50497	912.0	0.0	1000.0	1000.0	0.20833333	0.075	856.0	0.00856	50004.0	1.9287564	1.9856918	4.972465	-13.709918	1.885098	2.0199978	4.8729963	-14.201379	1.0418566	2.9523807	34.823612	-2.341408	1.0630156	2.9423292	34.40601	-1.7897372	0.811145	1.1701403	30.701204	0.013823251	0.7926862	1.178087	30.745714	0.020346383	0.19437097	2.4806137	37.34906	-13.544698	-8.210761	0.06722172	0.053682975	0.028692747	0.031519175	0.1308879	0.13152908	0.29322886	-3.1957476	0.117577225	0.056476984	-8.542186	0.02456856	-0.19437097	9.424902	248.313	249.37669944763184
2	-1.2355329	2.2376206	2.9370294	-8.194972	-0.48103967	1.7836931	5.752347	-3.5956614	65.26923	139.2625	599.0	0.0	52.625	124.833824	658.0	0.0	1000.0	1000.0	0.15384616	0.25	4238.0	0.02825333333333333	100004.0	0.62561053	1.6089242	4.118274	-8.299462	0.62561494	1.608912	4.14981	-8.300431	1.9393672	2.8829052	34.038578	-4.28759	1.9394037	2.882917	34.35847	-3.4709399	0.5323975	1.0283198	26.616253	0.005145284	0.5339723	1.0411631	26.973965	6.12717e-05	1.9000063	4.2040963	67.82913	-12.700883	-0.56902874	0.0014813243	0.0014935689	0.02266007	0.022471543	0.16182816	0.16149907	0.00030292623	-6.052583	0.002395634	3.6641396e-07	-13.098063	5.3184376e-06	-1.9000063	9.110117	252.12466	501.4697289466858
3	-0.16106339	1.7009819	3.9797006	-6.5352893	-0.070664704	0.8139747	2.1143198	-2.1771445	41.0	65.8831	300.0	0.0	52.85	136.61398	745.0	0.0	1000.0	1000.0	0.20833333	0.05	6277.0	0.031385	150004.0	-0.2267543	1.0881844	1.7444456	-4.7290416	-0.22673906	1.0881711	1.7583276	-4.6209807	2.0155163	2.851954	43.59765	-5.4645104	2.01552	2.8518615	43.590595	-6.4287343	0.50343364	1.2753102	53.03999	0.00035804062	0.50538844	1.2949524	57.29043	2.324554e-05	1.9858925	4.657083	69.16871	-11.817476	0.63805056	0.00061393564	0.00061469484	0.029021874	0.029041154	0.17846498	0.17822793	3.4259378e-05	-6.0935545	0.0022912268	8.753849e-10	-17.847668	2.3668813e-08	-1.985893	9.187166	251.47507	752.9189827442169
4	0.79790646	1.6103088	5.430817	-3.4107523	1.0503261	1.8788162	8.60219	-1.4797189	71.75	121.948425	527.0	0.0	83.5	169.52463	861.0	0.0	1000.0	1000.0	0.44230768	0.525	9937.0	0.039748	200004.0	-0.661557	0.7622691	1.3748531	-6.8236856	-0.6615495	0.7622656	1.9543407	-6.5810413	2.0473914	2.748154	30.682695	-4.7582145	2.0473242	2.7479575	31.973806	-4.8745546	0.54947454	1.4472742	47.97226	1.239769e-05	0.5480449	1.4225501	31.126595	2.4318399e-05	2.0095687	4.52253	64.84211	-14.064109	1.4531517	0.0005052863	0.0005038369	0.03775172	0.038232826	0.19038309	0.19018574	-1.1478553e-05	-6.1233077	0.0022460457	2.3285252e-12	-18.420683	7.1285984e-11	-2.0095687	9.083206	252.3882	1005.4672656059265
5	1.1978508	1.8446985	6.81754	-1.6358169	1.0313354	2.7424495	11.272477	-3.652325	34.104168	70.76994	341.0	0.0	25.175	98.96335	598.0	0.0	1000.0	1000.0	0.6666667	0.725	11726.0	0.039086666666666665	250004.0	-0.81062686	0.6309999	6.714225	-4.1958065	-0.8106231	0.63102716	6.7566977	-3.9018157	2.0200827	2.8104696	39.148987	-9.496079	2.0201678	2.8097172	39.745514	-10.1373825	0.69850576	1.7847517	45.77222	1.4305105e-06	0.69623905	1.7642611	50.84642	1.072883e-06	2.0076876	4.6094894	79.16589	-11.060101	1.9428102	0.0004861386	0.00047286935	0.04551129	0.04726635	0.20480871	0.20492505	-2.1419906e-05	-6.0549626	0.002411059	1.7111802e-13	-18.420683	9.7376005e-12	-2.0076873	9.079262	252.12354	1257.4712290763855
6	2.0873346	2.621422	13.743763	-1.3170158	1.7425029	2.9256825	11.028818	-1.0867891	31.557692	51.02353	196.0	0.0	54.225	196.3439	918.0	0.0	1000.0	1000.0	1.0192307	0.9	13215.0	0.03775714285714286	300004.0	-0.8763572	0.56024253	7.4741025	-4.777624	-0.8763535	0.5602607	7.2782307	-4.6666465	1.9732109	2.8009942	41.33236	-9.4595785	1.9732196	2.8003402	42.20221	-9.545363	0.80025756	1.9325517	64.52095	3.119387e-07	0.7989332	1.9189236	52.998165	4.6887018e-07	1.9722266	4.408558	71.37579	-12.7303915	1.8945515	0.000534413	0.00052195555	0.05041614	0.05168358	0.20479308	0.20442118	8.243355e-05	-6.043416	0.002438437	1.2099302e-13	-18.420683	5.4600213e-12	-1.9722266	9.118611	252.02545	1509.5696814060211
7	1.8491501	2.049406	6.3232865	-1.2009516	0.51135176	1.2505838	4.7482996	-1.2163332	28.770834	92.20296	551.0	0.0	24.375	70.66671	347.0	0.0	1000.0	1000.0	1.0	0.35	14703.0	0.0367575	350004.0	-0.9229607	0.49840087	3.7604892	-4.6686487	-0.9229675	0.49841303	3.9676483	-4.638515	1.9514309	2.7220848	41.72171	-7.580036	1.9514517	2.7214794	42.769707	-7.8444476	0.920967	2.173143	60.656017	1e-08	0.91971874	2.1552525	51.82347	4.7726797e-08	1.9654588	4.374683	60.478363	-12.066059	1.9973158	0.0005417267	0.0005301059	0.04786744	0.04928881	0.1933391	0.19312003	7.9091966e-05	-6.0610714	0.0023907693	6.4672856e-14	-18.420683	3.944083e-12	-1.9654588	9.221875	251.09717	1760.622260093689
8	1.6371167	2.1992137	8.551995	-2.1734204	1.2946526	1.7366806	6.90895	-0.6634128	39.48077	71.69365	323.0	0.0	36.875	137.57056	839.0	0.0	1000.0	1000.0	0.86538464	0.6	16649.0	0.036997777777777775	400004.0	-0.94511485	0.47588497	1.6685066	-6.2539067	-0.94511944	0.47590035	1.7201617	-6.261027	1.9182392	2.5576954	32.046738	-11.519517	1.9182141	2.5570347	33.294308	-10.807332	1.0262707	2.4219675	54.792633	1e-08	1.0250936	2.4170458	52.84725	1e-08	2.0042956	4.5670204	84.751526	-11.996592	1.6684991	0.000560576	0.00055167195	0.049237207	0.04989423	0.19157545	0.19152015	-1.3358974e-06	-6.160977	0.0021669562	7.390206e-14	-18.420683	2.8626565e-12	-2.0042956	9.074822	251.82227	2012.5010528564453
9	2.2568653	2.5270588	11.079245	-1.5777395	0.7628009	1.3226268	4.255456	-1.2729216	66.020836	115.894615	692.0	0.0	40.15	91.09104	436.0	0.0	1000.0	1000.0	1.0833334	0.475	19953.0	0.039906	450004.0	-0.9727368	0.47017387	0.8458605	-6.3903255	-0.97273844	0.470181	0.8105852	-6.4881935	1.8882641	2.485477	33.049633	-20.263926	1.8882252	2.4851532	32.51314	-21.806023	1.149244	2.787253	65.03692	1.7881378e-06	1.1472791	2.7634614	60.382343	1e-08	1.9818453	4.3704815	67.2799	-12.188667	1.60309	0.000602772	0.0005964396	0.05452899	0.055737842	0.19952542	0.19888783	4.9188136e-05	-6.1273575	0.0022344417	6.0215735e-14	-18.420683	2.1858726e-12	-1.9818453	9.116722	251.75366	2264.14653134346
10	1.1294833	1.8371075	7.079956	-0.82618135	0.9528748	1.2610323	4.4933004	-0.6815595	43.826923	111.841705	684.0	0.0	32.175	123.848076	775.0	0.0	1000.0	1000.0	0.59615386	0.475	22097.0	0.040176363636363635	500004.0	-1.0193954	0.48302096	1.4032986	-4.8379354	-1.0193939	0.4830316	1.5173821	-4.826482	1.8793881	2.5086179	43.18926	-14.721753	1.8794361	2.5083687	44.470512	-14.270726	1.2172129	2.823679	66.543106	1.7702277e-07	1.2163318	2.7907546	64.98515	1e-08	1.9864572	4.455546	65.26369	-13.979772	1.901704	0.00061441655	0.0006103405	0.056147333	0.057025775	0.19965632	0.19966531	2.995551e-05	-6.1638613	0.0021689641	3.2165812e-14	-18.420683	1.8499917e-12	-1.9864569	9.129798	252.07343	2516.363290786743
