Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-1.8713509	2.1049898	2.1264079	-8.684734	-5.9064193	6.5121984	0.44861042	-24.898287	39.354168	62.932663	239.0	0.0	14.3	59.281616	375.0	0.0	1000.0	1000.0	0.14583333	0.025	2015.0	0.02015	50004.0	1.8894991	2.5186062	5.419559	-13.575934	1.8463475	2.5447674	5.4053683	-13.822733	1.1201155	3.0537426	33.479065	-2.3256512	1.1428612	3.042645	33.313908	-1.7625897	0.7876206	1.2053064	30.989466	0.012184002	0.767679	1.2028134	28.273184	0.008663449	0.14337157	2.4119399	41.40352	-12.215343	-6.537369	0.07604056	0.061816476	0.033040445	0.036076963	0.15367006	0.15478376	0.299019	-3.1907976	0.1186794	0.056175534	-8.388428	0.024554716	-0.14337154	11.580189	420.42984	422.37192583084106
2	-0.63908005	1.7377119	2.8283262	-5.958269	-0.30289832	0.9863156	1.9657023	-2.060393	32.71154	77.87079	377.0	0.0	1.075	6.713373	43.0	0.0	1000.0	1000.0	0.1923077	0.15	3590.0	0.023933333333333334	100004.0	0.6136268	1.6874747	3.8591151	-8.058283	0.613642	1.6874385	3.919096	-8.400353	1.939539	2.9445705	27.674751	-3.615	1.9395171	2.9443727	28.33034	-3.5939405	0.56589264	1.1950465	27.110025	0.0011885253	0.56792915	1.2065579	23.932905	0.00029035166	1.9524543	3.9919178	60.707108	-13.5908	-0.67673665	0.0023177138	0.0023335377	0.029062292	0.029356357	0.19066334	0.19002612	0.00015900338	-5.7721205	0.0031492822	4.599772e-07	-13.164977	5.312672e-06	-1.9524546	10.660836	430.67725	852.9175918102264
3	0.043563556	1.4280536	5.875328	-2.190243	0.8476237	1.328525	3.8275595	-1.4130198	27.1875	64.2682	278.0	0.0	31.275	111.67273	582.0	0.0	1000.0	1000.0	0.27083334	0.5	4895.0	0.024475	150004.0	-0.101164475	0.9033279	2.0485036	-5.673732	-0.10116729	0.90332866	2.123339	-5.8482833	2.047388	2.2984388	28.15462	-7.4673524	2.047394	2.2985797	26.06321	-7.4452915	0.4722372	1.1387472	26.24272	0.00013886917	0.47356305	1.1446086	22.66064	2.1099822e-05	1.9719262	3.8331842	64.72515	-14.867861	0.13296993	0.00062560634	0.0006200951	0.023953056	0.02338334	0.14371221	0.14292231	5.285746e-05	-6.2284613	0.0020439585	1.0611516e-09	-17.897816	2.0445764e-08	-1.9719262	11.70652	428.7687	1281.3706424236298
4	1.5601356	2.2594514	10.919412	-0.9208349	1.6176739	1.5593002	5.456908	-0.7633844	26.98077	66.796906	355.0	0.0	64.7	192.82092	925.0	0.0	1000.0	1000.0	0.8269231	0.8	6298.0	0.025192	200004.0	-0.44087136	0.52395976	1.5666943	-4.1342206	-0.4408706	0.52396446	2.062741	-4.1677985	2.0676537	1.811867	27.177559	-5.5303364	2.067604	1.8119042	26.205566	-5.8725567	0.47955313	1.1818091	29.41713	5.9413645e-07	0.47701672	1.1727979	29.741678	1.6689287e-06	2.0062888	3.7195609	71.711655	-11.667587	0.38573524	0.00036894425	0.00036517234	0.021728965	0.02186602	0.11768599	0.1179006	-3.8526155e-06	-6.4292865	0.0016323151	2.784069e-12	-18.420683	8.75451e-11	-2.0062888	12.371593	425.10892	1706.5296802520752
5	2.648235	3.2935588	12.616656	-1.3735863	2.2365792	2.5237882	8.981175	-1.1499861	56.645832	129.90115	524.0	0.0	102.0	230.91373	945.0	0.0	1000.0	1000.0	1.3125	1.075	9234.0	0.03078	250004.0	-0.52162	0.38985273	1.399981	-3.631768	-0.5216217	0.38986203	1.524731	-3.548058	2.0508173	1.7432821	28.428583	-7.248528	2.0508273	1.7430769	28.716803	-7.669155	0.5510022	1.2979892	32.95658	1.072883e-06	0.5495151	1.2929698	29.122871	9.298281e-06	2.0030105	3.8891847	66.621346	-15.808444	0.58842367	0.00036197936	0.00035751206	0.023341108	0.023310747	0.11641938	0.116526425	-1.5321446e-06	-6.4886246	0.0015431171	2.0659626e-13	-18.420683	9.0189895e-12	-2.003011	13.338486	425.35956	2131.8505113124847
6	2.508709	2.7897866	11.433497	-1.19423	1.6887211	2.07345	6.8230352	-0.7467602	48.73077	123.64731	668.0	0.0	57.9	139.70287	548.0	0.0	1000.0	1000.0	1.2115384	0.775	11551.0	0.033002857142857146	300004.0	-0.6034926	0.35971025	1.7933743	-5.1803503	-0.6034895	0.35973042	1.6607406	-5.391237	2.0211258	1.7661328	31.593447	-6.1207094	2.0211904	1.7658696	35.803665	-5.5397983	0.6354239	1.4574261	32.62454	1.6689287e-06	0.6314062	1.4382187	33.407124	5.708795e-08	1.9803703	3.954425	70.65082	-12.697184	0.70876634	0.000409439	0.00040231773	0.026404163	0.026885537	0.12225211	0.12316285	4.1505806e-05	-6.4120064	0.0016720581	1.08389975e-13	-18.420683	4.901236e-12	-1.9803706	14.267676	426.5953	2558.465405702591
7	3.6112025	3.8316255	13.949534	-0.86888486	3.9440837	4.4316487	15.750942	-0.6792345	66.229164	143.28413	676.0	0.0	50.65	127.74595	630.0	0.0	1000.0	1000.0	1.8125	1.975	14842.0	0.037105	350004.0	-0.6574056	0.36307645	1.3614459	-3.2665868	-0.65740526	0.36309052	1.3717723	-3.3237119	1.9690078	1.9192883	32.238667	-6.603743	1.9690266	1.9190968	32.32908	-6.596815	0.8185289	1.8089008	34.18975	1.1920922e-06	0.81678295	1.8072823	43.1257	2.145765e-06	2.0028915	4.0713534	64.897835	-12.100579	0.89502656	0.00045352158	0.00044955596	0.030173417	0.0306223	0.13326375	0.13369285	1.1755943e-07	-6.357665	0.0017581355	7.435396e-14	-18.420683	3.4561527e-12	-2.0028915	15.303092	422.8009	2981.599446773529
8	5.010085	4.783487	16.50027	-0.89760005	4.096283	4.6522474	17.550798	-0.53962356	48.192307	122.09061	607.0	0.0	59.35	112.68886	585.0	0.0	1000.0	1000.0	2.5961537	1.975	17236.0	0.038302222222222224	400004.0	-0.70321983	0.39904568	1.2857606	-4.1133537	-0.70322096	0.3990642	1.2320452	-3.9152312	1.9450463	2.0079286	31.851597	-7.143483	1.9450861	2.0080347	32.943474	-6.5208464	0.8991836	1.9699543	33.952717	2.6571678e-07	0.8980768	1.9804369	48.861073	4.4642775e-07	1.9966062	3.9688277	62.28354	-12.712007	0.8870428	0.0005807115	0.0005715315	0.03394498	0.03378945	0.1410609	0.14095923	1.0622625e-05	-6.2207174	0.002027054	6.85668e-14	-18.420683	2.5603805e-12	-1.9966061	15.26957	424.53864	3406.0681030750275
9	4.736277	4.1957774	14.350207	-0.6051637	3.3045945	3.904895	16.073769	-1.2250528	48.125	93.47652	404.0	0.0	42.55	114.21164	557.0	0.0	1000.0	1000.0	2.4375	1.8	19584.0	0.039168	450004.0	-0.77613705	0.43292487	1.270329	-5.0670943	-0.7761442	0.4329499	1.3319379	-4.955658	1.9200355	2.0171182	39.72076	-11.126041	1.9200803	2.0180051	38.661724	-10.868078	1.0053623	2.1677585	49.85609	1.7468746e-07	1.0081089	2.1944988	47.454548	1.4156932e-07	1.9870155	3.949675	56.05906	-12.793919	1.0755235	0.0007383377	0.00072666537	0.03573601	0.034683164	0.1425875	0.14171347	3.0304842e-05	-6.2585	0.0019553346	4.6532253e-14	-18.420683	2.0398312e-12	-1.9870155	15.1265335	420.2237	3826.323562860489
10	4.702541	4.7412844	19.953918	-1.0725471	2.8754141	3.970986	15.349479	-1.187714	26.326923	44.017357	196.0	0.0	54.875	152.81888	722.0	0.0	1000.0	1000.0	2.4038463	1.55	20915.0	0.03802727272727273	500004.0	-0.849714	0.45760018	1.4315686	-4.8862033	-0.8497157	0.4576008	1.4639741	-5.241661	1.9243897	2.1497285	51.17732	-7.538415	1.9243928	2.1503668	51.669697	-7.204055	0.9930293	2.6525693	108.63892	1e-08	0.99416167	2.6348953	101.15479	7.606715e-08	2.0047684	4.0011506	65.075806	-14.217147	1.2593044	0.00089239463	0.0008940217	0.04108323	0.03991676	0.15767884	0.15714498	-7.345352e-06	-6.2632723	0.0019281604	4.012494e-14	-18.420683	1.7362199e-12	-2.0047684	14.935744	420.04218	4246.923919200897
