Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-3.5049617	4.794655	1.709953	-20.540924	0.13265553	0.81539834	2.4062371	-1.7238735	71.75	75.58536	309.0	0.0	245.55	273.3525	937.0	0.0	1000.0	1000.0	0.0625	0.025	3781.0	0.03781	50004.0	1.6699462	1.2420611	5.2521544	-6.384377	1.622836	1.289767	5.2153654	-6.4242907	1.2357304	2.689052	26.520155	-2.4706783	1.2566665	2.6771977	26.328667	-2.7056367	0.89511657	1.0308282	21.400724	0.0032566153	0.87733734	1.0451695	23.743176	0.001098268	0.095972255	2.4275773	44.12781	-11.826711	-5.2648582	0.07020659	0.052652266	0.04245672	0.0459653	0.16239408	0.16263585	0.29228145	-3.2406	0.118027054	0.056863774	-7.931904	0.024642287	-0.095972225	44.89801	1177.9567	1180.5520808696747
2	-0.052332934	2.2690465	4.0090375	-13.477081	0.54426396	1.3763051	4.7451243	-2.4203334	111.73077	155.00734	787.0	0.0	52.925	143.68793	722.0	0.0	1000.0	1000.0	0.17307693	0.275	9254.0	0.061693333333333336	100004.0	0.8290692	0.6640585	3.6643655	-5.8234105	0.82905596	0.66403395	3.5944397	-6.1013217	2.0051258	3.1692812	42.99275	-12.584409	2.0051565	3.1692803	41.20282	-11.147437	0.63839716	1.4102486	34.837917	2.3483954e-05	0.6411734	1.4249188	32.28148	4.7444173e-05	1.9387308	3.9567494	44.408348	-11.185422	1.9032454	0.0007617106	0.00079696596	0.047153354	0.047437012	0.23068127	0.22917949	0.00033536978	-5.41395	0.0047128196	0.007442673	-4.464331	0.36240324	-1.9387306	47.71514	1239.1222	2419.594647169113
3	0.84055024	1.7883108	4.8923893	-5.259513	0.05740123	1.1351234	4.7253523	-3.1798835	77.125	122.3071	477.0	0.0	70.75	151.94272	601.0	0.0	1000.0	1000.0	0.45833334	0.125	13208.0	0.06604	150004.0	-0.06418424	0.56510484	3.742123	-4.6096277	-0.0641903	0.5650964	3.7101424	-4.2165484	2.0203443	3.549565	47.222042	-16.437376	2.020367	3.5495286	42.708588	-16.06511	0.71459454	1.6879082	40.28569	7.510157e-06	0.71788627	1.7093526	40.280518	7.748574e-06	2.003799	4.353788	55.293922	-11.164011	2.5136511	0.0006058683	0.0006186989	0.057969444	0.05840888	0.25995907	0.25875065	-6.068592e-06	-5.538189	0.003988302	0.00071948016	-4.2305717	0.050973624	-2.0037992	49.489983	1201.3307	3620.9176864624023
4	0.3260493	1.0858953	3.6669412	-2.7658107	-0.13188615	0.76847684	1.8760632	-2.0726457	82.65385	125.67064	548.0	0.0	17.8	52.262897	316.0	0.0	1000.0	1000.0	0.115384616	0.05	17254.0	0.069016	200004.0	-0.617063	0.6296693	3.8154685	-6.4292684	-0.6170593	0.62965405	3.962144	-6.124682	1.9425368	3.8970118	36.83187	-15.848467	1.9425256	3.8974063	37.71316	-16.311108	0.9543121	2.167559	33.847588	1.5497195e-06	0.95480984	2.170685	32.49288	9.5367386e-07	1.9937159	4.5250463	59.281326	-14.181678	3.48022	0.0008435864	0.0008603532	0.07528973	0.07469886	0.29823855	0.29807153	4.0521525e-05	-5.438228	0.004390999	0.0014574524	-4.253148	0.083793715	-1.9937159	49.849693	1218.7139	4839.5876133441925
5	-0.121322535	0.9928817	2.473823	-3.0618558	-0.142427	0.67827886	1.6427996	-1.6774417	44.5	116.19488	721.0	0.0	39.35	104.21073	533.0	0.0	1000.0	1000.0	0.104166664	0.025	19501.0	0.06500333333333333	250004.0	-1.0706353	0.7608131	3.0257063	-9.759381	-1.0706186	0.7607886	3.0842285	-9.874734	1.8486711	3.80454	36.71141	-19.221573	1.8486339	3.8053763	37.04764	-18.867554	1.2630649	2.6674185	46.235435	1.072883e-06	1.2586005	2.6353686	47.04861	5.8578237e-08	1.9919659	4.727408	65.971405	-12.183266	3.4665592	0.0013147113	0.0013400184	0.08460532	0.08288992	0.31279707	0.3135773	4.7561207e-05	-5.378717	0.0046800165	1.6561809e-06	-10.397254	0.000120259625	-1.9919659	48.922264	1199.4004	6039.023922204971
6	-0.14463179	1.3776745	3.3291001	-2.263685	-0.3613383	1.0284486	2.7970977	-2.4879365	52.673077	97.778534	461.0	0.0	16.375	53.2976	290.0	0.0	1000.0	1000.0	0.13461539	0.125	22129.0	0.06322571428571429	300004.0	-1.4740254	0.9011582	1.6153915	-11.144633	-1.4740063	0.9011653	1.5890749	-11.202994	1.87137	3.7230618	43.464638	-21.156237	1.8713769	3.7236185	42.476692	-21.070034	1.2442918	2.8336926	61.882843	1.48150505e-08	1.2418569	2.8068454	57.307766	1e-08	1.9703838	4.9166045	73.70375	-11.895234	3.80718	0.0018035382	0.0018205018	0.08741628	0.08535702	0.31422144	0.31509754	0.00015073086	-5.472128	0.004287714	3.4725605e-09	-16.270042	2.2238551e-07	-1.9703838	49.567604	1201.8655	7241.095767498016
7	-0.5532963	1.1444672	2.3322928	-2.4735956	-0.7020603	1.6010731	3.2611275	-4.1554766	18.770834	30.066065	119.0	0.0	36.4	82.53205	482.0	0.0	1000.0	1000.0	0.104166664	0.125	23030.0	0.057575	350004.0	-1.7372947	1.0279932	0.0675323	-14.426199	-1.7372915	1.0279765	0.07918966	-14.601999	1.8749988	3.6460488	52.123287	-16.617249	1.8751552	3.6465738	50.353172	-17.452475	1.237694	2.9806821	72.34559	1e-08	1.2404221	2.9897923	67.954506	1e-08	2.0042143	5.0281534	76.05734	-11.487268	3.7907574	0.002119415	0.0021472897	0.08344538	0.082048185	0.30468476	0.30405793	-4.2816163e-07	-5.4714456	0.004282556	8.230982e-12	-18.420683	4.938978e-10	-2.0042143	49.8315	1207.5833	8448.535558700562
8	-0.24445969	1.1487701	3.1827834	-2.1726992	-2.020717	2.8855884	0.95219254	-9.035354	48.057693	70.21517	264.0	0.0	41.85	89.59703	346.0	0.0	1000.0	1000.0	0.13461539	0.025	25529.0	0.056731111111111114	400004.0	-1.9343631	1.1426942	0.106836796	-17.134558	-1.9343612	1.1426814	0.06217003	-17.102991	1.8737186	3.3212337	47.976135	-15.747649	1.8738891	3.321453	45.146954	-15.435157	1.2154791	2.9360101	69.17608	1e-08	1.2137831	2.9229147	61.536495	5.453358e-08	1.9898734	5.003827	78.13456	-12.547252	3.4165807	0.0025371627	0.002555367	0.07375752	0.072676696	0.27055997	0.270345	4.7761765e-05	-5.5965886	0.0037710767	3.0391558e-13	-18.420683	9.934027e-12	-1.9898729	47.59229	1196.8381	9645.480221509933
9	-0.42346027	0.9851045	2.166824	-2.500266	-0.27148265	1.2468534	4.131896	-2.7956183	20.166666	57.378258	298.0	0.0	7.55	19.968664	80.0	0.0	1000.0	1000.0	0.125	0.1	26622.0	0.053244	450004.0	-2.0185716	1.1333097	0.25694132	-25.046885	-2.0185714	1.133346	0.23657918	-25.382874	1.8828617	3.1190474	50.708015	-18.659393	1.8827914	3.119371	49.420517	-18.150038	1.1718751	2.782675	70.84535	3.7697745e-07	1.1721228	2.7736208	68.27453	3.2678363e-07	2.0003283	4.8656116	79.47245	-11.692579	3.4063113	0.0026357144	0.002615878	0.07254005	0.07154533	0.26186118	0.26235297	7.4092386e-06	-5.6788764	0.0034812542	1.1491201e-13	-18.420683	5.001473e-12	-2.000328	46.425068	1205.029	10850.289577960968
10	-0.6377377	2.4563615	3.330227	-13.261527	0.065320745	0.68335694	2.430023	-1.647956	51.442307	93.20271	402.0	0.0	49.475	128.29263	613.0	0.0	1000.0	1000.0	0.15384616	0.05	29172.0	0.05304	500004.0	-2.0622	1.1111717	0.67891896	-32.065674	-2.0621874	1.1111754	0.6319002	-35.423008	1.8651881	2.8350272	46.460728	-14.408937	1.8651468	2.8355148	41.31037	-16.196861	1.1768249	2.7367103	73.04671	1.072883e-06	1.1732578	2.7167578	69.674416	1e-08	1.9817938	4.643591	75.98033	-13.371893	2.9234598	0.00268612	0.002702239	0.06586569	0.06455137	0.23347028	0.23401317	6.9106616e-05	-5.826976	0.0030185303	1.0044932e-13	-18.420683	3.163148e-12	-1.9817938	47.63519	1202.4805	12053.455939531326
